generacion,mejor_fitness,promedio_fitness,peor_fitness,mejor_lat,mejor_lon
179,0.8681123894236018,0.7470928090300568,0.0,-43.30487231152408,-65.03856700761514
180,0.8681123894236018,0.7215587041587612,0.0,-43.30487231152408,-65.03856700761514
181,0.8681123894236018,0.7741706264309507,0.0,-43.30487231152408,-65.03856700761514
182,0.8681123894236018,0.7468040334385307,0.0,-43.30487231152408,-65.03856700761514
183,0.8681123894236018,0.730976329310887,0.0,-43.30487231152408,-65.03856700761514
184,0.8681123894236018,0.788460367902249,0.0,-43.30487231152408,-65.03856700761514
185,0.8681123894236018,0.7914290323034934,0.0,-43.30487231152408,-65.03856700761514
186,0.8681123894236018,0.7882791938777446,0.0,-43.30487231152408,-65.03856700761514
187,0.8681123894236018,0.7418100148579805,0.0,-43.30487231152408,-65.03856700761514
188,0.8681123894236018,0.7206158546098754,0.0,-43.30487231152408,-65.03856700761514
189,0.8681123894236018,0.7458974781919436,0.0,-43.30487231152408,-65.03856700761514
190,0.8681123894236018,0.7991086231763969,0.0,-43.30487231152408,-65.03856700761514
191,0.8681123894236018,0.74488687517491,0.0,-43.30487231152408,-65.03856700761514
192,0.8681123894236018,0.7245542312805539,0.0,-43.30487231152408,-65.03856700761514
193,0.8681123894236018,0.7786100103565877,0.0,-43.30487231152408,-65.03856700761514
194,0.8681123894236018,0.7661147237859994,0.0,-43.30487231152408,-65.03856700761514
195,0.8681123894236018,0.72464723389785,0.0,-43.30487231152408,-65.03856700761514
196,0.8681123894236018,0.7720263979478723,0.0,-43.30487231152408,-65.03856700761514
197,0.8681123894236018,0.7549088509857894,0.0,-43.30487231152408,-65.03856700761514
198,0.8681123894236018,0.788272029941058,0.0,-43.30487231152408,-65.03856700761514
199,0.8681123894236018,0.7775167927227769,0.0,-43.30487231152408,-65.03856700761514
